NAME,SMILES
CHEMBL1082984,Clc1nc2ccccc2c2c1nnn2Cc1ccccc1
CHEMBL202664,CC(C)=CCC/C(C)=C/[C@H]1OC(=O)C[C@]12C[C@H](OC(=O)c1cc(F)cc(F)c1)C=CC2=O
CHEMBL4528522,NCc1nnc(C2CCOC2)[nH]1
CHEMBL3142205,CC(C)S(=O)(=O)C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C
CHEMBL4637247,CC(C)CNc1nc(-c2ccccc2)cc2c(-c3ccc(C(=O)NC4CC4)cc3)cnn12
CHEMBL3427132,CCCCCCCCCCCCCCCCCC(=O)C1=C(O)OC(C)(C)OC1=O
CHEMBL1370390,CNc1cccc2c1C(=O)c1ccccc1C2=O
CHEMBL4227023,CN(C)c1ccc([C@@H]2[C@@H](C(=O)NCc3ccccc3CN3CCCC3=O)OCC(=O)N2c2ccc(Cc3ccncc3)cc2)cc1
CHEMBL3230777,CC[n+]1ccc(Nc2ccc(NC(=O)c3ccc(Nc4cc[n+](CC)c5ccccc45)cc3N)cc2N)cc1.[I-].[I-]
CHEMBL561900,O=C(c1ccccc1)c1c(C(=O)N2CCN(C(=O)CCl)CC2)nn(-c2ccccc2)c1-c1ccccc1
CHEMBL1829852,CC(C)COc1cc(C(=O)N[C@@H](Cc2ccc3ccccc3c2)C(=O)O)ccc1NC(=O)[C@@H](N)Cc1c[nH]cn1
CHEMBL1189002,COc1ccc(S(=O)(=O)Nn2ccc(C)c(CC(=O)NCc3ccc(N)nc3)c2=O)c(OC)c1
CHEMBL1711907,NC(=O)c1ccccc1NC(=O)CCn1c(=S)oc2ccccc21
CHEMBL1198979,c1cc[n+](CCCC[n+]2ccccc2)cc1
CHEMBL1977813,O=[N+]([O-])c1ccc(Cc2nc3ccccc3s2)cc1
CHEMBL1762260,CC(C)(C)NC(=O)NS(=O)(=O)c1cnccc1NN1CCCC1
CHEMBL3612090,CC(C)OP(=O)(N/N=C/c1ccncc1)OC(C)C
CHEMBL1539472,O=C(Nc1ccccc1)c1ccc(S(=O)(=O)N2CCC(C(=O)O)CC2)cc1
CHEMBL3085380,CCN(CC)[C@@](C)(C#Cc1ncnc2cc(OC)c(OC)cc12)CC1CCCCC1
CHEMBL5172520,OCCCOc1cccc(Nc2ncnc3c(N/N=C/c4ccc(O)cc4)ncnc23)c1
CHEMBL5421601,CC(=O)N(C)c1ccccc1C
CHEMBL1945466,CCCCCCC[n+]1c(/C=C/c2ccc(-n3cccc3)cc2)sc2ccccc21
CHEMBL5314930,O.O.O.O.O.OB1OB(O)O[B-]2(O1)OB(O)OB(O)O2.[Na+]
CHEMBL1256605,CC1(C)CCCCc2cccc3c2CN(C3)C(=O)O[C@@H]2C[C@@H](C(=O)N[C@@H]3CCCOB3O)N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)OC1
CHEMBL1449066,CCN(CC)Cc1c(O)c(Cl)cc2c(C)c(C)c(=O)oc12
CHEMBL431690,c1ccc(CN[C@H]2C3CCN(CC3)[C@H]2C(c2ccccc2)c2ccccc2)cc1
CHEMBL454313,CC1(C)[C@@H](O)C[C@H]2[C@](C)(O)[C@@H]3CC[C@@H]4[C@@H](O)[C@@]3(C[C@@H](O)[C@@]21O)C[C@@]4(C)O
CHEMBL4958780,O=S1(=O)CC[C@@]2(CN(c3ncnc4ccsc34)CCO2)C1
CHEMBL5408505,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)CCN(C)C)c(=O)oc3c2C)OC1(C)C
CHEMBL285268,C=C1/C(=C\C=C2/CCCC3(C)C2CCC3[C@H](C)/C=C/CC(O)(C(F)(F)F)C(F)(F)F)C[C@@H](O)C[C@@H]1O
CHEMBL1098858,CCc1cccc(CC)c1NC(=O)CN1CCCN(Cc2nc3ccccc3[nH]2)CC1
CHEMBL1915291,CCOc1cc2c(cc1OCC)C(c1ccc(Cl)cc1)=NNC(=O)C2
CHEMBL4634228,Cc1cccc(/C=C/c2cnc(Nc3cc(N4CCN(C(=O)CCCc5cn(CCOCCOCCOCCOCCNc6cccc7c6C(=O)N(C6CCC(=O)NC6=O)C7=O)nn5)CC4)nc(C)n3)s2)c1
CHEMBL267300,COc1ccc(Cl)cc1C(=O)NCCc1ccc(OC)c(S(=O)(=O)/N=C(/N)S)c1
CHEMBL1470696,Cc1ccc(Cl)c(OCC(=O)Nc2nncs2)c1
CHEMBL4938237,CCOc1cc(C2C3C(=O)N(c4ccc(Cl)cc4)C(=O)C3ON2c2ccccc2)ccc1OCc1ccccc1
CHEMBL3318526,CSc1nnc(SC2=C(O)CC(c3ccccc3)CC2=O)s1
CHEMBL1484481,OC(COc1cccc(OCC(O)CN2CCOCC2)c1)CN1CCOCC1
CHEMBL4920376,CC1(C)[C@@H](NC(=O)Nc2cnn(CC(=O)N3CCOCC3)c2)[C@@H]1c1ccccc1
CHEMBL1412480,CNC(=O)ON=C(N)Cc1csc2ccc(Cl)cc12
CHEMBL3652169,COc1ccc(CCS(C)(=O)=O)c(Nc2nc3ccccc3nc2NS(=O)(=O)c2c(C)noc2C)c1
CHEMBL256126,N#CCC1COc2cc3[nH]c(=O)cc(C(F)(F)F)c3cc2N1CC(F)(F)F
CHEMBL4764376,Cc1noc(-c2cnn(-c3ccc(NC(=O)c4c(C)noc4C)cc3)c2C(F)(F)F)n1
CHEMBL5026989,COCC1(C(=O)Nc2cc(OC)ccc2-n2cnnn2)CCC1
CHEMBL1727876,CCCn1c(N)c(N2CCCCC2)c(=O)n(CC(=O)Nc2ccc(C(C)=O)cc2)c1=O
CHEMBL543614,CCOC(=O)C1CN=C(N)NC1.Cl
CHEMBL3462853,O=C(COCC1CC1)Nc1ccn(Cc2cccc3cccnc23)n1
CHEMBL1400657,C=CCN1C(=O)NC(=O)/C(=C/c2ccc[nH]2)C1=O
CHEMBL305580,COc1cc2c(SCCN(C)C)nc3ccccc3c2c2ccccc12
CHEMBL322002,COc1ccccc1OCC1CN(Cc2ccccc2)CCO1
CHEMBL269613,CCCC[C@@H](C[C@@H](CCc1ccc(-c2ccc(SC)cc2)cc1)C(=O)N[C@H](C(=O)NC)C(C)(C)C)C(=O)O
CHEMBL1585361,Cc1cccc(N(C(=O)c2snc(C(N)=O)c2N)C(C(=O)NCc2ccccc2)c2ccncc2)c1
